price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
6620333,4614,3,2,3,yes,no,no,no,no,2,no,semi-furnished
5991209,4272,4,2,1,no,yes,no,no,no,0,no,semi-furnished
4773854,3605,3,2,1,yes,no,yes,no,no,0,no,unfurnished
8578505,4151,3,2,2,yes,no,yes,yes,yes,0,no,semi-furnished
8477083,3188,3,2,2,yes,yes,no,no,yes,0,yes,semi-furnished
7550989,2242,4,2,2,no,no,no,no,no,2,no,semi-furnished
7813690,5376,4,1,1,yes,no,yes,no,no,0,no,furnished
10572563,4214,4,1,2,yes,no,no,no,no,0,no,furnished
10467768,4033,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
9461387,2587,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
6076321,1518,4,2,2,yes,no,no,no,no,0,no,semi-furnished
5291228,3171,4,1,2,yes,no,yes,no,yes,2,no,semi-furnished
5998152,5300,3,2,1,yes,no,yes,no,yes,0,no,unfurnished
10634840,3222,3,2,1,yes,yes,no,no,yes,2,no,semi-furnished
9039739,6234,4,2,2,yes,no,no,no,no,0,yes,semi-furnished
3879806,4090,2,2,2,yes,yes,no,no,no,0,no,semi-furnished
8966750,3093,3,2,2,yes,no,no,no,yes,0,no,semi-furnished
2963928,4617,3,1,1,yes,no,no,no,no,0,no,furnished
4928388,2250,2,2,1,yes,yes,no,no,no,0,yes,unfurnished
5132408,4001,3,2,1,yes,no,no,no,no,2,no,semi-furnished
3678929,3899,3,2,2,yes,no,yes,no,no,1,no,semi-furnished
7957406,3745,4,1,1,yes,no,no,no,no,1,yes,unfurnished
5888869,5765,3,2,1,yes,no,no,no,yes,0,no,unfurnished
4563295,5430,4,1,2,yes,yes,yes,no,no,2,yes,unfurnished
12795303,2389,4,2,2,yes,no,no,no,no,0,no,semi-furnished
11650758,2251,4,2,2,no,yes,yes,no,no,2,yes,semi-furnished
6280908,5011,2,1,2,yes,no,yes,no,no,0,no,furnished
6629145,4892,3,2,1,no,no,no,no,no,2,no,furnished
8741012,4607,4,2,2,no,no,yes,no,no,0,no,semi-furnished
5942056,1911,3,1,2,yes,no,no,no,yes,1,no,furnished
4081900,6054,2,1,1,yes,no,no,yes,yes,1,yes,semi-furnished
10684482,3387,3,2,1,no,no,no,no,no,0,no,furnished
6428626,6561,4,2,2,yes,no,yes,no,no,0,no,unfurnished
4597069,2729,4,1,2,yes,no,no,no,no,2,no,furnished
4142319,2305,2,2,2,yes,yes,no,no,no,1,no,semi-furnished
8368235,1809,3,2,4,yes,no,no,yes,no,0,no,unfurnished
3534250,2344,2,2,1,no,yes,no,no,no,2,no,unfurnished
4947894,3410,3,2,2,yes,no,no,no,no,2,no,semi-furnished
8570565,3921,2,1,1,yes,no,no,no,yes,2,no,furnished
6143236,6010,2,2,1,yes,no,yes,no,no,0,no,unfurnished
5310005,3334,4,2,2,yes,yes,yes,no,no,0,no,semi-furnished
4954172,6190,2,1,2,yes,no,no,no,no,2,no,semi-furnished
6205244,2729,4,2,2,yes,no,yes,no,no,0,no,furnished
6163228,6259,4,1,2,yes,yes,no,no,no,0,no,semi-furnished
4900710,5338,3,2,1,yes,no,no,no,yes,2,no,semi-furnished
7030491,8588,4,4,2,yes,no,no,yes,yes,1,yes,furnished
6900732,6543,3,2,2,yes,no,no,no,no,2,no,semi-furnished
7431849,1819,2,2,2,yes,yes,no,no,no,2,yes,unfurnished
10309555,3363,4,2,1,no,no,no,no,no,2,no,unfurnished
8483472,3822,3,1,2,yes,no,yes,no,yes,0,no,furnished
4556869,2369,4,1,1,yes,no,yes,no,no,0,no,semi-furnished
6857944,5769,2,1,2,yes,no,no,no,yes,1,no,semi-furnished
5883134,2834,3,1,2,yes,no,no,no,no,0,no,unfurnished
7976239,2461,2,2,1,yes,no,yes,no,no,1,no,unfurnished
9973871,5066,2,2,1,yes,yes,no,no,no,2,no,semi-furnished
5889124,2376,3,2,2,yes,no,no,no,no,2,no,semi-furnished
5241660,931,4,1,1,yes,no,no,no,yes,0,no,furnished
10028545,1340,3,1,2,yes,no,yes,no,yes,0,yes,semi-furnished
4136123,2031,4,2,2,yes,no,yes,no,no,2,no,unfurnished
5306820,1692,3,1,2,yes,no,yes,no,no,1,no,furnished
6899876,1372,4,2,1,yes,no,no,no,no,0,no,semi-furnished
5911358,2959,2,1,1,yes,no,yes,yes,no,0,yes,semi-furnished
10773198,7193,2,2,1,yes,no,no,no,yes,2,no,unfurnished
4425953,1845,3,2,2,no,no,no,no,no,0,no,semi-furnished
11864442,2809,3,2,2,yes,yes,no,no,yes,0,no,furnished
7018166,3945,3,2,3,yes,no,no,yes,yes,0,no,semi-furnished
3773046,2580,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
9307030,3178,2,1,1,yes,no,no,no,no,0,no,furnished
4951439,2875,4,2,1,yes,no,no,no,no,0,no,unfurnished
9127643,2582,4,1,2,yes,no,yes,no,yes,0,no,semi-furnished
3764731,3961,3,2,1,no,no,no,no,yes,0,no,furnished
11155126,2345,2,2,3,yes,no,no,no,no,0,yes,semi-furnished
7902981,3907,4,2,2,yes,no,no,no,no,0,no,furnished
7726681,2413,2,2,2,yes,no,no,no,no,0,no,unfurnished
4051518,3534,4,2,1,yes,no,no,no,yes,2,no,semi-furnished
3790124,2954,2,2,2,yes,no,no,no,no,2,no,semi-furnished
5659712,8359,3,2,1,no,no,no,no,no,0,no,furnished
4170406,10467,4,1,2,yes,no,yes,no,yes,2,no,semi-furnished
7926922,3239,3,2,1,yes,no,no,no,no,0,no,semi-furnished
4634767,4069,3,2,1,yes,no,no,no,yes,0,yes,semi-furnished
11059691,2352,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
6516305,3294,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
4307807,2585,3,2,2,yes,no,no,no,no,4,no,unfurnished
12122072,2215,2,2,2,yes,yes,no,no,no,2,no,semi-furnished
5497012,2937,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
7798727,4576,3,1,2,yes,yes,yes,no,no,2,no,unfurnished
6015176,2931,4,2,2,no,no,yes,no,yes,2,no,semi-furnished
5432457,5709,2,1,2,no,no,no,no,no,2,no,furnished
7970120,3849,2,2,1,yes,no,no,no,no,0,no,semi-furnished
6149207,4035,4,2,1,yes,yes,no,no,yes,0,no,unfurnished
12221045,1889,3,2,1,yes,yes,no,no,yes,0,yes,semi-furnished
10361777,4737,2,2,2,yes,yes,yes,no,no,0,no,semi-furnished
3835404,4569,3,2,1,yes,no,yes,yes,no,2,no,semi-furnished
7592050,7069,3,2,1,yes,no,yes,no,yes,0,yes,furnished
12354481,2627,4,1,2,yes,yes,no,no,yes,0,yes,furnished
7487565,3410,4,2,1,yes,no,no,no,yes,1,no,unfurnished
6124625,3123,4,2,1,yes,no,yes,no,yes,0,no,semi-furnished
4997356,6119,4,2,1,yes,no,no,no,yes,1,yes,semi-furnished
10364647,1324,3,1,1,yes,no,yes,no,no,0,yes,unfurnished
4340146,5412,4,2,1,yes,no,no,no,no,0,no,unfurnished
11847606,4495,4,1,1,yes,yes,yes,no,no,0,no,semi-furnished
6351435,1299,4,1,2,yes,no,yes,no,yes,0,no,furnished
4503617,5662,3,1,1,yes,no,no,no,yes,1,no,semi-furnished
11369925,1913,4,1,1,yes,no,no,no,no,2,no,semi-furnished
11844862,1479,2,2,2,yes,no,yes,no,no,2,yes,unfurnished
5571645,2840,3,2,2,yes,yes,no,no,no,2,yes,unfurnished
9460732,3318,3,2,1,yes,no,yes,no,yes,0,no,unfurnished
4420378,3607,4,2,1,yes,no,no,no,yes,2,no,furnished
11887795,7929,4,2,2,no,no,no,no,no,0,no,unfurnished
5097318,3896,3,1,1,yes,no,yes,no,yes,2,no,unfurnished
7869293,2220,2,2,2,yes,no,no,yes,no,0,no,semi-furnished
8365662,2423,5,2,4,no,no,yes,no,yes,1,yes,semi-furnished
10219225,4100,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
7653588,2792,3,2,2,no,no,yes,no,no,1,yes,furnished
8661401,4539,4,2,1,yes,yes,no,no,no,2,no,semi-furnished
7671121,1881,3,2,2,no,no,yes,yes,no,2,no,unfurnished
4496764,4592,4,2,2,no,no,no,no,no,2,no,furnished
6695330,4599,4,2,1,no,no,yes,no,yes,0,no,furnished
7840673,3392,4,1,2,no,no,no,no,yes,0,no,semi-furnished
10048788,2199,3,2,2,yes,no,yes,no,no,0,no,semi-furnished
5215871,2726,4,2,1,yes,no,no,no,yes,2,no,semi-furnished
13044259,5416,4,2,1,yes,no,yes,yes,yes,0,no,unfurnished
7355913,4804,3,1,2,yes,no,no,no,no,2,yes,furnished
6606834,1629,3,1,2,yes,no,yes,no,yes,2,no,unfurnished
5967935,4421,2,2,2,yes,yes,yes,no,yes,0,no,semi-furnished
6385237,2394,2,2,2,no,yes,yes,no,no,0,yes,furnished
7508059,1847,2,2,2,yes,no,no,no,no,0,yes,semi-furnished
12287018,5909,4,2,1,yes,no,yes,no,yes,2,no,furnished
12473352,3086,3,1,2,yes,no,no,no,yes,0,no,unfurnished
11719868,2877,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
8192902,5875,4,2,2,yes,no,no,no,no,2,no,unfurnished
6908732,4151,4,1,1,no,no,yes,no,no,0,yes,semi-furnished
7835761,4522,3,2,2,yes,no,no,no,yes,0,no,unfurnished
7883201,4599,3,2,2,no,no,no,no,yes,0,no,furnished
9714085,8658,4,2,1,yes,no,no,no,no,0,yes,semi-furnished
9889253,2570,3,2,1,no,no,no,no,no,1,no,semi-furnished
10927460,3680,2,1,2,yes,no,no,no,no,0,yes,unfurnished
7567458,2434,4,2,1,yes,yes,yes,no,yes,0,no,unfurnished
9105206,4659,2,2,1,yes,no,no,no,no,0,no,unfurnished
12213032,2045,4,2,3,yes,yes,no,no,no,2,no,semi-furnished
10082484,7152,3,1,1,yes,no,yes,no,no,0,no,unfurnished
9830337,-379,2,1,3,yes,yes,yes,no,no,2,no,semi-furnished
10060011,3250,3,2,1,yes,no,no,no,yes,3,no,semi-furnished
12963198,11127,3,2,2,yes,no,yes,no,yes,0,no,semi-furnished
4289828,2585,2,2,3,yes,yes,no,no,no,2,no,semi-furnished
5598973,2107,2,1,1,yes,no,no,yes,yes,0,no,furnished
10814400,2141,2,2,1,yes,yes,no,no,yes,0,no,semi-furnished
8873336,5652,4,2,1,yes,yes,yes,no,no,2,no,furnished
5611588,3732,3,2,2,yes,no,no,no,yes,0,no,semi-furnished
9062410,4238,4,1,2,yes,no,no,no,no,0,no,unfurnished
7956710,2027,4,2,1,yes,no,yes,no,no,0,no,furnished
5194037,4524,4,1,1,yes,no,yes,no,no,2,no,semi-furnished
9489726,3813,4,2,2,yes,yes,yes,no,no,2,no,unfurnished
7909310,7052,4,1,2,no,no,yes,no,no,2,no,semi-furnished
12071721,4489,3,2,1,yes,no,no,no,no,2,yes,furnished
5265549,5615,2,2,2,no,no,no,no,no,2,no,semi-furnished
7638268,3668,4,2,1,yes,no,no,yes,yes,0,yes,semi-furnished
4814637,3060,4,2,2,yes,no,yes,no,yes,0,no,furnished
12567975,723,4,2,1,no,no,no,no,no,2,no,semi-furnished
6065070,3796,2,2,1,yes,no,no,no,no,0,no,semi-furnished
12345012,2076,3,1,2,no,yes,no,no,no,0,no,furnished
6213850,1581,7,1,1,yes,yes,no,no,yes,2,yes,unfurnished
8318936,1938,4,1,2,yes,no,no,no,no,0,no,unfurnished
5666252,2246,2,2,2,yes,no,yes,no,no,2,no,semi-furnished
4939257,4968,3,1,1,no,no,yes,no,no,0,no,furnished
11013576,2184,4,4,2,yes,no,yes,no,no,2,no,unfurnished
3265729,3707,4,2,2,yes,no,yes,no,yes,1,no,unfurnished
6631452,5479,3,2,2,yes,no,no,no,no,0,no,unfurnished
6730682,3422,2,2,2,yes,no,yes,no,no,1,yes,semi-furnished
4691739,1338,3,2,2,yes,yes,yes,no,yes,0,no,unfurnished
8630100,1840,3,2,1,yes,no,yes,no,no,2,no,unfurnished
4932652,5062,3,2,1,yes,no,no,no,yes,0,no,unfurnished
5834172,3646,2,2,3,no,no,yes,no,yes,0,no,semi-furnished
5971215,1760,2,2,2,yes,no,yes,no,yes,2,yes,semi-furnished
11831294,1556,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
6699946,7856,4,2,1,yes,no,yes,no,no,0,no,unfurnished
6247464,4600,2,1,1,yes,no,no,no,no,1,yes,furnished
4263322,3979,3,1,2,yes,no,yes,no,no,2,no,unfurnished
7755248,3644,2,2,3,yes,yes,yes,no,yes,2,yes,furnished
5583173,2043,3,1,1,yes,yes,no,no,no,2,no,furnished
10534311,2678,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
7205405,1016,3,2,3,yes,no,yes,no,no,2,no,semi-furnished
9792468,4987,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
4425855,6855,3,2,1,yes,no,no,no,yes,0,no,unfurnished
7150636,2288,4,1,1,yes,no,yes,no,no,0,no,unfurnished
5909509,2124,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
11448662,2826,7,1,1,yes,no,no,no,yes,2,no,semi-furnished
10729062,1655,2,1,1,no,no,no,no,no,0,no,unfurnished
8144912,4262,4,2,1,yes,no,yes,no,no,0,no,furnished
4434593,4497,4,2,2,yes,yes,no,no,yes,4,yes,unfurnished
8567851,3105,4,2,2,yes,no,yes,no,no,2,yes,unfurnished
6084871,7677,2,2,1,yes,no,yes,no,yes,0,no,semi-furnished
9185612,5877,3,2,3,yes,yes,yes,no,yes,2,no,unfurnished
4489490,1314,3,2,1,yes,no,yes,no,no,1,yes,unfurnished
4546410,4402,3,2,2,yes,no,no,no,no,1,yes,unfurnished
6613212,5664,3,2,2,yes,no,yes,no,no,0,no,semi-furnished
4638810,4872,2,2,1,yes,no,yes,no,no,0,no,unfurnished
7719074,2158,4,2,1,yes,no,no,no,no,0,no,furnished
8015700,3641,3,2,2,yes,no,yes,no,no,0,no,semi-furnished
10237531,2334,3,2,1,yes,no,yes,yes,no,0,no,semi-furnished
6906227,3106,4,1,2,yes,yes,no,no,no,0,no,unfurnished
5419014,3751,3,1,1,yes,no,yes,no,yes,0,no,furnished
4503055,4678,3,2,1,yes,yes,no,no,no,2,no,unfurnished
5331050,4003,6,2,2,no,no,yes,no,no,0,no,unfurnished
6454964,2148,4,2,2,yes,no,no,no,no,0,yes,unfurnished
7518827,3343,2,2,2,yes,yes,no,no,yes,0,no,furnished
3006075,3238,2,2,2,no,yes,yes,no,yes,0,no,semi-furnished
5915330,2637,2,2,2,no,yes,no,no,no,0,yes,furnished
5870346,2907,3,1,1,yes,no,yes,yes,no,0,no,semi-furnished
6264599,2332,3,2,2,yes,yes,no,no,yes,2,yes,unfurnished
5583475,2934,2,2,2,no,no,yes,no,no,1,no,semi-furnished
7058278,3858,3,2,1,no,no,yes,no,yes,2,no,semi-furnished
4706061,807,4,2,1,no,no,no,no,yes,0,no,semi-furnished
9123516,1673,2,1,1,yes,no,yes,no,yes,0,no,unfurnished
7147089,2441,3,1,1,yes,no,no,no,no,0,no,furnished
7956126,1273,4,2,1,no,no,yes,no,no,2,yes,semi-furnished
10115335,2214,2,2,2,yes,no,yes,no,no,0,no,unfurnished
5130515,8038,3,2,2,yes,no,no,no,no,2,no,furnished
