price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
10741462,2435,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
6583960,4647,3,2,1,yes,no,no,no,yes,2,no,furnished
10380168,5241,3,1,2,yes,no,no,no,no,2,no,furnished
7372183,9391,4,1,2,yes,no,yes,no,no,1,no,unfurnished
7046454,2229,3,2,1,yes,no,no,no,yes,1,yes,semi-furnished
4333983,4364,2,1,2,yes,no,no,no,yes,1,no,unfurnished
4987674,10573,2,1,2,no,yes,no,yes,no,1,no,furnished
1780578,4738,2,2,1,yes,no,yes,yes,no,1,no,semi-furnished
11898392,2847,4,2,1,yes,no,no,no,no,1,no,unfurnished
12014844,6293,2,4,1,no,yes,no,no,yes,2,no,semi-furnished
4623209,2851,3,1,1,yes,no,no,yes,no,0,yes,furnished
4938797,2653,4,1,1,yes,no,no,no,no,1,no,unfurnished
8772086,1271,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
11154428,5078,3,2,1,no,no,no,no,yes,2,no,semi-furnished
4047691,3994,3,1,1,yes,no,no,yes,no,1,no,semi-furnished
8776141,3380,2,1,1,no,no,no,no,yes,1,no,unfurnished
8646624,2502,2,1,1,yes,yes,no,no,no,1,no,semi-furnished
3619146,9573,3,2,1,yes,no,no,no,yes,1,yes,semi-furnished
5285324,3943,4,1,1,yes,no,yes,no,no,1,no,furnished
7350960,5922,3,1,1,yes,no,no,no,no,2,yes,furnished
3792424,5467,3,1,1,yes,yes,yes,no,no,1,no,semi-furnished
5189370,2135,3,2,2,yes,yes,no,no,no,2,no,furnished
5955995,3216,4,1,1,yes,yes,no,no,no,1,no,unfurnished
2460967,3064,2,1,2,yes,no,no,no,no,2,no,semi-furnished
8611439,4599,2,2,1,yes,yes,no,no,no,0,no,unfurnished
6783336,3713,2,1,1,yes,yes,yes,no,no,1,no,unfurnished
6570118,4954,4,1,2,yes,no,yes,no,no,1,no,furnished
5979839,4324,4,1,1,yes,no,no,no,yes,1,no,unfurnished
3005594,4629,4,1,1,yes,no,no,no,no,1,no,unfurnished
3947916,1433,3,1,1,yes,no,yes,no,no,0,no,unfurnished
9401732,5264,4,2,3,yes,no,yes,no,no,2,no,unfurnished
3374344,5757,4,1,1,yes,no,no,no,no,2,no,semi-furnished
8040270,2564,3,1,1,no,no,yes,no,no,2,no,unfurnished
7315844,4424,4,1,1,yes,no,no,no,no,3,yes,semi-furnished
1778979,6003,2,1,1,yes,no,no,no,no,0,no,furnished
6841025,3112,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
5121093,3699,3,2,2,yes,no,yes,yes,yes,1,no,unfurnished
7809066,3175,3,1,2,yes,no,no,no,no,2,no,unfurnished
4816990,4945,4,1,1,yes,no,no,no,no,1,no,unfurnished
2360357,5513,2,1,1,yes,no,no,no,no,1,no,unfurnished
3277439,4488,3,1,1,no,no,no,no,no,1,no,unfurnished
4604091,4006,2,1,1,yes,no,no,no,no,1,yes,furnished
4717228,2678,4,2,5,yes,no,no,no,no,0,yes,furnished
4738475,2896,3,1,1,no,no,no,no,yes,1,yes,semi-furnished
3240128,3736,3,1,2,yes,no,no,no,no,1,no,unfurnished
6039756,3820,4,1,1,yes,no,no,no,no,0,no,semi-furnished
3466468,5973,4,1,1,no,no,no,no,no,0,yes,semi-furnished
4025585,2778,3,1,1,yes,no,yes,no,yes,2,yes,furnished
2107770,8709,4,1,2,yes,no,no,no,no,2,no,furnished
9280716,5101,3,1,1,yes,no,yes,no,no,1,yes,furnished
5684205,2936,4,1,1,yes,no,yes,no,yes,0,no,unfurnished
4450139,4953,2,1,1,yes,no,no,no,no,2,no,unfurnished
3938002,5627,3,1,2,yes,no,yes,no,yes,1,no,furnished
6509485,4811,2,1,1,yes,yes,no,no,no,1,no,unfurnished
4427460,3791,4,1,4,yes,yes,no,no,yes,1,no,semi-furnished
9070245,2853,3,2,1,yes,no,yes,no,no,0,yes,semi-furnished
5224511,2776,3,1,1,yes,no,no,no,no,0,no,furnished
5169378,4205,4,1,2,yes,no,yes,no,no,2,no,unfurnished
3380358,4134,3,1,1,yes,no,no,no,no,0,no,unfurnished
11046313,10300,2,1,1,yes,no,yes,no,no,1,no,unfurnished
11365096,3132,4,2,1,yes,no,no,no,no,1,no,unfurnished
8305087,8853,2,2,1,yes,no,no,no,no,1,yes,semi-furnished
5686681,3716,4,1,1,yes,no,yes,no,no,0,no,semi-furnished
5456171,7284,2,1,1,yes,yes,no,no,no,2,no,unfurnished
4489345,7046,3,1,1,yes,no,no,no,no,2,no,unfurnished
7222419,4664,3,1,1,yes,yes,yes,yes,no,0,no,unfurnished
7944883,3446,2,1,1,yes,no,no,no,no,0,no,unfurnished
6488860,3149,3,1,3,yes,no,yes,no,no,2,no,furnished
8664108,7215,4,2,1,yes,yes,yes,no,no,1,no,semi-furnished
6943304,3401,3,1,2,yes,no,no,no,no,2,no,furnished
7811779,9335,5,1,1,yes,no,no,no,no,2,no,furnished
4094188,5023,4,2,1,yes,no,yes,yes,no,1,no,semi-furnished
4886207,3280,3,1,1,yes,yes,no,no,yes,2,no,unfurnished
6350847,3347,4,1,1,yes,no,no,no,yes,1,yes,semi-furnished
8133422,2097,2,1,1,yes,no,yes,no,yes,1,no,semi-furnished
3353269,6978,4,1,2,no,no,no,no,no,1,no,furnished
8503132,2646,3,1,2,yes,yes,no,no,no,1,no,semi-furnished
7973530,1863,2,1,1,yes,no,no,yes,no,0,no,furnished
6353963,5997,3,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
7442103,2362,2,2,1,no,no,no,no,no,1,no,semi-furnished
8561439,5496,3,1,5,yes,no,yes,no,no,1,no,semi-furnished
2735662,7985,2,2,2,yes,no,no,no,no,2,yes,unfurnished
8052522,3186,3,1,2,yes,no,no,no,no,2,no,semi-furnished
5707679,4991,2,1,1,yes,no,yes,no,no,0,no,unfurnished
3406837,4193,3,1,1,yes,yes,yes,no,yes,1,no,semi-furnished
9255156,2830,2,2,2,no,no,yes,no,yes,1,no,unfurnished
3564601,2875,2,1,2,no,no,yes,no,no,1,no,furnished
12028324,5813,4,2,1,yes,no,no,no,no,2,no,furnished
6956992,3574,3,1,1,no,no,no,no,no,1,no,semi-furnished
8363687,8618,3,2,2,yes,no,yes,no,no,2,no,furnished
2996594,4471,4,2,1,yes,no,no,no,no,1,yes,furnished
6810740,1694,2,1,1,yes,yes,yes,no,no,0,no,furnished
8801805,8772,4,4,2,yes,no,yes,yes,yes,1,yes,unfurnished
7825841,2520,3,2,1,yes,no,no,no,no,2,yes,semi-furnished
5832037,7623,4,2,1,yes,no,no,no,no,2,no,furnished
5141312,4835,3,1,4,no,no,yes,no,no,1,yes,unfurnished
6522642,4725,3,1,1,yes,yes,yes,no,yes,1,yes,furnished
5334649,4793,4,1,1,yes,no,no,no,yes,0,yes,semi-furnished
9793200,8280,2,1,1,no,no,no,no,yes,1,no,semi-furnished
3028322,8433,2,1,1,no,no,yes,no,no,2,no,semi-furnished
3477931,5118,4,1,2,yes,no,yes,no,yes,2,no,furnished
6496266,9711,2,1,1,yes,no,yes,yes,no,0,yes,semi-furnished
2633095,5507,3,1,1,yes,no,yes,no,yes,1,no,unfurnished
7122524,4994,2,1,2,yes,no,no,no,no,1,no,unfurnished
9754547,4993,3,1,2,no,no,no,no,yes,0,no,semi-furnished
3712513,3966,2,1,1,yes,no,no,no,no,0,no,furnished
8430546,8973,4,2,1,yes,no,no,no,no,1,no,semi-furnished
4665795,2606,2,1,1,yes,no,no,no,no,2,yes,unfurnished
1641631,8455,3,2,2,no,no,no,no,yes,2,no,semi-furnished
4917732,15478,4,1,2,yes,no,yes,no,no,1,no,semi-furnished
6426257,4687,4,1,2,yes,no,no,no,no,2,no,semi-furnished
